brinkey	unikey	keyword match	university	brinkeyPop	unikeyPop
['ondernemingsrecht']	[]	False	rug	1	3235
['incontinentie']	[]	False	rug	1	3235
['maan']	[]	False	uu	1	3235
['melkwegstelsels']	[]	False	rug	1	3235
['eierstokkanker']	['ovaria']	False	rug	1	1
['nierdialyse']	[]	False	eur	1	3235
['hartchirurgie']	[]	False	uu	1	3235
['plantenfysiologie']	['plantenfysiologie', 'verdroging', 'zaden']	False	wur	1	29
['automatisch vertalen']	[]	False	rug	1	3235
['kennismanagement']	[]	False	tud	1	3235
['hydraulische techniek']	[]	False	tud	1	3235
['jeugdgezondheidszorg']	['macht']	False	uu	1	2
['copd']	[]	False	rug	1	3235
['bloedvatenstelsel']	[]	False	rug	1	3235
['gerechtelijke geneeskunde']	['individualisering']	False	ul	1	1
['lever(ziekten)']	[]	False	rug	1	3235
['organische chemie']	[]	False	rug	1	3235
['virtual reality']	[]	False	tud	1	3235
['bodemkunde']	['mozambique']	False	wur	1	1
['aangeboren afwijkingen']	['aangeboren afwijkingen']	True	rug	1	2
['opvoedingsinrichtingen']	[]	False	rug	1	3235
['differentiaalvergelijkingen']	[]	False	rug	1	3235
['domotica']	[]	False	rug	1	3235
['niertransplantatie']	['urologie', 'niertransplantatie']	False	rug	1	18
['erfrecht']	[]	False	rug	1	3235
['rubber']	[]	False	rug	1	3235
['spierziekten']	[]	False	rug	1	3235
['hyperthermie']	['hyperthermie', 'radiotherapie']	False	uu	1	5
['celbiologie']	[]	False	eur	1	3235
['aminozuren']	[]	False	rug	1	3235
['nieuwe testament']	['nieuwe testament', 'humanisme']	False	ul	1	2
['contemporaine filosofie (20e en 21e eeuw)']	[]	False	rug	1	3235
['openbare financiën']	[]	False	rug	1	3235
['stofwisseling']	[]	False	rug	1	3235
['syndroom van sjögren']	[]	False	rug	1	3235
['sportgeneeskunde']	[]	False	rug	1	3235
['magnetische materialen']	[]	False	rug	1	3235
['tandheelkundige materialen']	['biomaterialen', 'tandheelkunde']	False	rug	1	7
['psycholinguïstiek']	['geheugen']	False	eur	1	3
['computerlinguïstiek']	[]	False	rug	1	3235
['patroonherkenning']	[]	False	rug	1	3235
['ziekte van parkinson']	['ziekte van parkinson']	True	ul	1	1
['arbeidsongeschiktheid']	[]	False	ul	1	3235
['kwantummechanica']	[]	False	ul	1	3235
['maatschappelijk werk']	['nederland']	False	rug	1	12
['waterzuivering']	['watervoorziening']	False	wur	1	1
['microbiologie']	[]	False	wur	1	3235
['biochemie']	[]	False	rug	1	3235
['neurologie']	[]	False	rug	1	3235
['stromingsleer']	[]	False	tud	1	3235
['astrochemie']	[]	False	rug	1	3235
['verzekeringsrecht']	['verzekeringsrecht']	True	eur	1	1
['operations research']	[]	False	tud	1	3235
['longziekten']	[]	False	rug	1	3235
['prionziekten']	['neurologie']	False	eur	1	16
['elementaire-deeltjesfysica']	[]	False	rug	1	3235
['genomica']	[]	False	rug	1	3235
['halfgeleiders']	[]	False	tud	1	3235
['materialenkennis']	[]	False	tud	1	3235
['darmkanker']	[]	False	rug	1	3235
['dyslexie']	['dyslexie', 'syntaxis', 'fonologie']	False	rug	1	3
['onroerende zaken']	[]	False	rug	1	3235
['hepatitis']	['virologie', 'infectieziekten']	False	eur	1	18
['immunologie']	[]	False	uu	1	3235
['polymerisatie']	[]	False	rug	1	3235
['biometrie']	[]	False	rug	1	3235
['kernfysica']	['gammastraling']	False	rug	1	1
['kwantumveldentheorie']	[]	False	rug	1	3235
['roofdieren']	[]	False	ul	1	3235
['artrose']	[]	False	eur	1	3235
['hersentumoren']	[]	False	rug	1	3235
['hart- en vaatziekten']	[]	False	rug	1	3235
['cartesianisme']	[]	False	uu	1	3235
['bacteriologie']	[]	False	rug	1	3235
['antennes']	[]	False	tud	1	3235
['vlinders']	['vlinders', 'biofysica']	False	rug	1	2
['aderverkalking']	['genen', 'celdood']	False	ul	1	19
['urologie']	[]	False	ul	1	3235
['aanbestedingsrecht']	['europees recht', 'mededingingsrecht']	False	rug	1	2
['supramoleculaire chemie']	[]	False	rug	1	3235
['kunstmatige intelligentie']	[]	False	rug	1	3235
['bouwkunst']	[]	False	tud	1	3235
['stadsplanologie']	[]	False	rug	1	3235
['katalyse']	['katalyse', 'symmetrie']	False	rug	1	5
['data mining']	[]	False	ul	1	3235
['hartritme(stoornissen)']	[]	False	rug	1	3235
['lupus erythematodes']	['erfelijke ziekten']	False	rug	1	1
['geografische informatiesystemen']	[]	False	tud	1	3235
['tomografie']	[]	False	uu	1	3235
['demografie']	[]	False	rug	1	3235
['medische informatica']	[]	False	rug	1	3235
['cultuurparticipatie']	['kunst']	False	uu	1	1
['baggerwerken']	[]	False	tud	1	3235
['kantoorgebouwen']	['renovatie', 'kantoorgebouwen', 'amsterdam', 'rotterdam']	False	uu	1	5
['fotosynthese']	['fotosynthese']	True	ul	1	2
['hartfalen']	[]	False	rug	1	3235
['kankerbehandeling']	['radiologie', 'tumoren']	False	rug	1	18
['reumatologie']	[]	False	rug	1	3235
['organometaalchemie']	['katalyse']	False	uu	1	5
['stofwisselingsziekten']	[]	False	rug	1	3235
['farmacologie']	['farmacologie']	True	eur	1	6
['chinese taal- en letterkunde']	[]	False	ul	1	3235
['psychofarmaca']	[]	False	uu	1	3235
['betonconstructies']	[]	False	tud	1	3235
['meetkunde']	[]	False	rug	1	3235
['geneeskunde']	[]	False	rug	1	3235
['programmeertalen']	['communicatie', 'doel']	False	uu	1	5
['glastuinbouw']	['tuinbouw', 'glastuinbouw', 'watervoorziening']	False	wur	1	6
['biotechnologie']	[]	False	rug	1	3235
['atmosfeer']	['atmosfeer']	True	wur	1	3
['plantenhormonen']	[]	False	ul	1	3235
['multiple sclerose']	['radiologie', 'multiple sclerose']	False	rug	1	13
['stamcellen']	[]	False	rug	1	3235
['bloedziekten']	['hematologie']	False	rug	1	8
['middelbaar beroepsonderwijs']	['voortgezet onderwijs']	False	rug	1	4
['notariaat']	[]	False	rug	1	3235
['foraminiferen']	[]	False	uu	1	3235
['psychofysiologie']	[]	False	rug	1	3235
['gastro-enterologie']	['gastro-enterologie', 'aangeboren afwijkingen']	False	rug	1	4
['kristalchemie']	[]	False	rug	1	3235
['migraine']	[]	False	eur	1	3235
['neurofysiologie']	['hersenen']	False	rug	1	5
['waterbeheer']	[]	False	tud	1	3235
['filosofische ethiek']	[]	False	eur	1	3235
